,competitor_name,platform,text
133,medterra.international,facebook,week save cbd capsule gel capsule help support recovery valid medterra medterracbd findingbalance
134,medterra.international,facebook,life fun good agree medterracbd cbd
135,medterra.international,facebook,find balance beautiful mess everyday medterracbd cbd findingbalance
136,medterra.international,facebook,good morning believe would like achieve year would love hear resolution also want remind new year resolution become overwhelm put wellbeing first medterracbd cbd goodmorning motivation
137,medterra.international,facebook,hey phone time take cbd good night capsule let get medterracbd cbd sleeptime goodnight sweetdreams
138,medterra.international,facebook,star product already try one cbd oil medterracbd cbd cbdoil
139,medterra.international,facebook,let way want best version relax prioritise happiness remember always support wellness journey medterracbd cbd happynewyear
140,medterra.international,facebook,happy new year glass champagne maybe drop cbd oil right cheer medterracbd cbd cocktail newyearseve happynewyear
141,medterra.international,facebook,celebrate christmas real exercise guy test stomach emoji challenge back surely sore lift gift decorate christmas tree whatever part body need special care relief right know thing medterracbd cbd painrelief
142,medterra.international,facebook,stocking stuffed ready christmas lot love medterracbd cbd allthingschristmas santashelper gift
143,medterra.international,facebook,host christmas party surprise friend family cocktail cbd gin tonic cbd margarita sound like true christmas medterracbd cbd mixology cocktail cocktailbar
144,medterra.international,facebook,usually like get ready christmas celebration medterra like dress feel extra course stuff mouth delicious christmas get comfiest pjs medterracbd cbd christmaslook
145,medterra.international,facebook,already hung mistletoe tag someone deserves kiss medterracbd cbd jinglebells loveisintheair
146,medterra.international,facebook,last chance order cbd receive medterracbd cbd xmas christmastime
147,medterra.international,facebook,nan
148,medterra.international,facebook,sleep thight wake full positive energy morning medterracbd cbd sleepwell goodnight sleeptight
149,medterra.international,facebook,present last christmas gift cream perfect choice seek luxurious skin manuka honey consider combine cbd help soothe nourish skin like cream medterracbd cbd manukahoney superfoods medterragiftguide
150,medterra.international,facebook,want gift someone holistic cbd choose ultra broad cbd drop blend active cannabinoids enriches routine cbd also additional beneficial compound cbg natural terpene medterracbd cbd ultrabroadspectrum cbdlikeapro medterragiftguide
151,motionnutrition,facebook,less
152,motionnutrition,facebook,love love shipping put ring make commit supply ship jar door instead simply add jar cart use code checkout dream unplug sleepaid
153,motionnutrition,facebook,get extra nourish use coupon code get brain body creatine carefully combine right amount take creatine give explosive performance also unnecessary brain body nothing hold ask creatine mentalpower power energy
154,motionnutrition,facebook,health get set summer feel gooood belly skin month supply probiotic motion classic one collagen combine marine bovine peptide gut skin like post follow motion tag summer buddy comment friend tag one entry extra share post story tag motion entry close sunday ship winner picked total prize value good luck symprove probiotic skincare guthealth collagen collagenpeptides giveawayuk giveaway feelgoodfood
155,motionnutrition,facebook,one like pay delivery free order delivery come duty import fee motionnutrition freedelivery feelgoodfood sleepaid collagen kidshealth
156,motionnutrition,facebook,follow minute know mess around thousand random thing spent long time research clear two advocate skin hair benefit marine backing gut joint support bovine choose make classic complete blend marine one easy powder collagen collagenpeptides collagenpowder
157,motionnutrition,facebook,like travel powerup brightonpier oceanlover
158,motionnutrition,facebook,bad news good news bad many pre order classic collagen increase first batch size cause couple day delay good pre order already place due ship monday action call gonna need big truck collagen collagenpowder collagenpeptide ecopackaging
159,motionnutrition,facebook,simple answer choose every serve classic collagen pre order link bio collagen collagenpowder halal collagenprotein collagenpeptide
160,motionnutrition,facebook,genius subscribe classic collagen today lock early bird price good regular price may monthly plan subscribe link bio goodmoodfood collagen feelgoodfood
161,motionnutrition,facebook,debate collagen take go year decide enough classic collagen bovine meaning get best lot time save pre order get via link bio collagen superfan subscribe classic collagen lock price get bumped good collagen marinecollagen collagenpeptides
162,motionnutrition,facebook,gummies curious potential gummy supplement sure even commission example formulation lead manufacturer back swipe second image behind scene look gummy straight big bulk sugar real problem near impossible put together therapeutic dose product take sugar gummy gummyvitamins supplement vitamingummies
163,motionnutrition,facebook,bird want exclusive access classic collagen pre order tag friend secret link pre classic collagen first kind combine sustainable marine collagen bovine peptide glorious packed gorgeous tin pouch inside secure tag friend comment collagen collagenpowder goodmoodfood ecofriendly
164,motionnutrition,facebook,cuddly surprise awaits every delivery unplug kid could guess correctly comment reserve first jar slothlife kidsbedtime kidssleep
165,motionnutrition,facebook,make bedtime well unplug kid bedtime sleep development food supplement child gluten free oat easy powder simply add food drink save post limited stock launch unplug kidsbedtime kidssleep
166,motionnutrition,facebook,attention parent set reminder exclusive pre release unplug kid bedtime launch friday miss chance secure first batch kid make bedtime well limited first come first ship monday may slothlife kidssleep unplug samsloth
167,motionnutrition,facebook,weekend know go world issue pill also know people need whatever support monday apply everything include power balance link bio feelgood mentalhealth smilemore
168,motionnutrition,facebook,file thing may mind craves consistent need wake time every day min even take unplug bedtime every night ensures quality sleep fast time naturally wake sleepawarenessweek wakeup sleepaid
169,motionnutrition,facebook,know lot like really enough notice strange pattern woman get significantly less sleep pattern look even show woman get much sleep men age bracket nothing get check sister ask sleep matter sleep gendersleepgap gendergap
170,motionnutrition,facebook,help limited amount stock brain body creatine best date end may sell entire batch half sale go support child war join add many unit brain body creatine possibly next month use code forukraine wire fund directly voice charity base eastern ukraine help child affected war provide emergency psychological evacuation programme include emergency psychological assist evacuation mobile psychologist individual help family head link comment join effort ukraine peace voicesofchildren
171,motionnutrition,facebook,world news get link sleep aggression study young researcher discover aggression found relate quantity quality reduce quantity quality predict increase overall would world safer place slept well sleep unplug aggression
172,motionnutrition,facebook,storm nothing excuse duvet day stay stay bed getcosy weekendvibes eunice
173,motionnutrition,facebook,everything clearer happy balance doyou selflove valentine
174,motionnutrition,facebook,busy mind let sleep get stuck repeat worry thing may even ever remove busyness thing really want switch fall rabbit hole unplug really knock let press pause sleep get unplug mind sleep tgif unplug dreamland
175,motionnutrition,facebook,sweet help lose weight sleep accord new research release sleep extra hour every night actually help lose asleep might otherwise midnight snack healthy sleep actually regulates appetite make less prone sugary sleep weightloss feelgood
176,motionnutrition,facebook,nan
177,motionnutrition,facebook,person inner kid want smile mondaymood letsgo
178,motionnutrition,facebook,future number thing keep night ask consistently top balance men daily supp triple magnesium fix help get hormonal fluctuation day welcome stable mood sweet calmness grab code calmness weekendvibes balance stressfree
179,motionnutrition,facebook,careful jungle slothlife elephantlove sleepwell
180,motionnutrition,facebook,sun energy subscribe get first order code sleep energy balance nostresszone
181,motionnutrition,facebook,get first month subscribe unplug code pause cancel subscription time sleep sleepaid unplug slowliving
182,motionnutrition,facebook,take power balance unplug together short yes medium beyond take actually formulate specifically work best take alongside unplug help know else help sleep less caffeine power help average user drop caffeine consumption quarter week less caffeine often mean less improve even include balance daily back short yes energy stress sleep feelgood
183,motionnutrition,facebook,take power powerup bosslife mondaymood
184,motionnutrition,facebook,katrina like kat get great sleep sleep sleepaid bedhead
185,motionnutrition,facebook,friendly reminder procrastination justdoit letsgo kevinhart
186,motionnutrition,facebook,believe deeper less stress everything life work sleep nootropics nostress
187,motionnutrition,facebook,person sent think could well bed besensational pillowtalk bedroomgoals
188,motionnutrition,facebook,nan
189,neat_nutrition,facebook,last chance grab product perfect time stock immune support protect cold vit vit moringa leaf
190,neat_nutrition,facebook,every entrepreneur best reduces inflammation act powerful natural stimulant boost energy eschew need
191,neat_nutrition,facebook,antioxidant hop lemon balm reduce sleep interruption encourage delta brain whilst lavender soothes muscle leave feel restore ready another
192,neat_nutrition,facebook,friday time boost go
193,neat_nutrition,facebook,wake feel rest refresh peaceful night
194,neat_nutrition,facebook,immune support contains powerful blend botanical herb probiotic proven help keep immune system optimal
195,neat_nutrition,facebook,daily supplement support life daily
196,neat_nutrition,facebook,wise word struggle get start try focus nootropic unique blend adaptogens stimulate regulate brain activity energise nervous system result improve focus
197,neat_nutrition,facebook,tough day hand easy fall asleep thanks sleep relax blend chamomile ashwagandha leaf help body unwind drift
198,neat_nutrition,facebook,commuter
199,neat_nutrition,facebook,take bright idea day long
200,neat_nutrition,facebook,blend amino acid soothe botanical relax tense muscle help promote production sleep hormone melatonin allow body restful night
201,neat_nutrition,facebook,cool autumnal night get need immune booster amongst thing immune support supplement packed full elderberry ever importnat vitamin
202,neat_nutrition,facebook,best combo since batman robin nootropic partnership help focus day sleep
203,neat_nutrition,facebook,population struggle sleep least one night per modern life full stimulus often hard switch create soothe sleep relax noottropic help get blissful night
204,neat_nutrition,facebook,life inclusive
205,neat_nutrition,facebook,suffer lack focus productivity might product
206,neat_nutrition,facebook,new charlie long suffer friend start neat way back find supplement believe retire professional today continue develop product real need hope come month hearing ensure high possible quality product think happiness real measure charlie illusive third rob try persuade make debut watch space
207,neat_nutrition,facebook,nothing love reading thank everyone share recently
208,neat_nutrition,facebook,love park workout especially early morning flow
209,neat_nutrition,facebook,need thrill able show first three new fully supplement available focus daily supplement design improve cognitive reduce biological stress combat feature ingredient cordyceps rhodiola ginkgo biloba vitamin vitamin check back tomorrow next product reveal
210,neat_nutrition,facebook,look try plant look convenient trial box allow test pea hemp
211,neat_nutrition,facebook,month march offering triple referral point easy earn sign refer friend earn make first purchase
212,neat_nutrition,facebook,mission spend lot time research late packaging innovation find best option customer also ensure packaging high food grade delivery bulk packaging make fully recycle material fully also work towards ensure every element packaging recyclable read full environmental statement
213,neat_nutrition,facebook,recover wind time take protein cast vote
214,neat_nutrition,facebook,plant base protein many lot consist one core soy brown neat nutrition chosen mix pea hemp together create vegan protein blend like shop plant base protein neatnutrition protein
215,neat_nutrition,facebook,chocolate try chocolate banana protein oat recipe pre post workout weekend simple easy recipe contain sachet neat protein keep track recipe website
216,neat_nutrition,facebook,postable box make fully recycle material fully box much mean additional pack material also drastically reduce amount material find website
217,neat_nutrition,facebook,best seller back variety vegan protein powder bag back stock thank bearing whilst catch demand large bag vegan pleased announce variety back stock available buy today
218,neat_nutrition,facebook,benefit hiit workout require actually burn calorie longer swipe right find
219,neat_nutrition,facebook,quick hiit motivational monday show get do quickly
220,neat_nutrition,facebook,start neat one goal environmentally sustainable work make goal swipe find work manufacturer minimise environmental
221,neat_nutrition,facebook,fave part workout shakin photo get collection
222,neat_nutrition,facebook,bulking grab whey vegan protein via link collection
223,neat_nutrition,facebook,get enough chocolate orange protein head profile
224,neat_nutrition,facebook,home workout tip get start
225,neat_nutrition,facebook,know image via
226,neat_nutrition,facebook,whatever goal make like start purpose
227,neurohacker,facebook,whatever health qualia cover carefully craft month qualia
228,neurohacker,facebook,dopamine dopamine
229,neurohacker,facebook,felt difference mood overall first day take love highly michelle cell energy lead sounder increase well capacity handle overall learn hallmark formulation support cell energy well shop
230,neurohacker,facebook,great list part functional self june weekend well time health optimisation summit past weekend absolutely love meeting every single one member well newbie hearing much guy love make happy wait share health optimise product future swipe favourite highlight tim gray troscriptions neurohacker collective roger snipe live vitae personalise nutritionist optimal health coach truedark montezuma chocolate rosita real food
231,neurohacker,facebook,earlier human pay attention negative threat world literally matter life attune danger paid attention bad thing around likely longer need constant high alert like early ancestor need order negativity bias still star role brain research show negative bias wide variety effect people neurohacking mindset crucial part optimize
232,neurohacker,facebook,held nothing back ultimate neurohacking list cognition longevity
233,neurohacker,facebook,probably close limitless pill go reasonably safely without afternoon andre learn make qualia nootropic peak performer score first subscription shop
234,neurohacker,facebook,contemporary neurohackers explore psychedelics everything accelerate learn heal major reprogramming underlie association lead habitual behavioral thought shadow paradigm continued exploration nature reality neurohacking upgrade hardware consciousness run would remiss mention technology alter read use psychedelics responsibly intentionally reprogram mind brain psychedelics
235,neurohacker,facebook,hack ridiculous brainpower via guide beginner cheat code obtain ridiculous brainpower hackernoon
236,neurohacker,facebook,even minute per day physical matter hour moveinmay check article reference articleinformation
237,neurohacker,facebook,matter eye strain impact cognitive performance click take eye strain test clue screen time behavior impact vision
238,neurohacker,facebook,support create holistic ripple effect rest life every nikki qualia vision ultimate recipe enhance visual learn shop
239,neurohacker,facebook,ginkgo biloba tree native china call living fossil survive specie order ginkgoales exist earth million year contains several bioactive include flavonoid glycoside kaempferol terpene lactones ginkgolides action ginkgo able support several neurotransmitter support promote healthy vascular function cerebral blood benefit alone earns spot nootropics love learn
240,neurohacker,facebook,art develop spiritual workplace involves far perfunctory introduction new exercise people mention interest life outside read else james say spirituality spirituality workplace
241,neurohacker,facebook,work phenomenology self talk dark side accord repress dark aspect unconscious make prone dark irrational primitive consist impulse anger also hidden source creativity jung believe recognize integrate shadow aspect essential psychological health process call polymath
242,neurohacker,facebook,experience laser focus day use qualia help overcome result project come completion also find able shift focus quickly bounce without stop recall left dana take first subscription order shop
243,neurohacker,facebook,thing activate vagus like deep offset effect sympathetic nervous system reduce cortisol check easy free way stimulate vagus nerve
244,neurohacker,facebook,break science psychedelic therapy break
