,influencer_username,platform,text
274,adamcollard,influencers,weekend summer come functional bodybuilding get keep intensity great short use lot online programme upperbody mobility warm every set find rep max strict chin barbell strict press build weight round rest weight dip add bent row round lateral raise bench preacher rib curl minimal rest check last reel emom cal ski enjoy summer sculpt
275,adamcollard,influencers,finish strong love conditioning piece lift one try emom cal ski toe bar get toe bar switch knee raise gym stuck space change lie leg cardio must summer season sculpt
276,adamcollard,influencers,first hyrox run boxed sweaty practice run shoutout jade put think caught endorphin two along test run full event april time pair run ski run sled push run sled pull run burpees run row run carry run walk lunge run wall ball time tbc hyrox sculpt
277,adamcollard,influencers,live apple youtube episode talk tom kick trend open anabolic ped use early door social medium body image childhood future plan transition bodybuilding hybrid approach hope enjoy episode drop podcast review comment see next
278,adamcollard,influencers,pedal metal summer shred almost upon want leave late year get think another sculpt challenge big well ever pumped start ramp thing post get lean face whatever training want look good okay many people talk day probably start train first look little well feel little bit well want get involve keep eye peel drop find little info early lfg summershredding
279,adamcollard,influencers,want get well front squat trust mean good battle every basic help move well help feel confident gym use member improve ankle mobility reason see many people use plate foot wear lifehack well ankle recommend find good routine youtube man keep normally deep knee toe lunge keep elbow eye tendency want look really one way ticket bar fall try stay upright keep elbow see start lose close max focus drive bar rather fight keep close breathing important learn effectively breathe squat lift create abdominal keep finish probably fail whatever think take breath hold full descent drive exhale tempo rep think slow negative downward phase rep literally exercise gym help understand something feel right form squat second way warm work like weight week understand go wrong incorporate tempo lot client listen always improve pause rep similar tempo control gain confidence bottom position comfortable load mention force explosive build strength bottom sculpt
280,adamcollard,influencers,try new bodybuilding recipe kit fish tuna salad come meal plan soon high low perfect shred ready second think
281,adamcollard,influencers,always hard life gain matter yes train hard four wall whatever chosen fitness think get little bit fitter leaner willing give hour day week eat like course whether day day week give hour day day still make gradual long consistent period time winner guess still try top go kill progressnotperfection sculpt
282,adamcollard,influencers,sunday pump chill vibe sun happy day mam wholesome sunday people
283,adamcollard,influencers,suck squat want improve save read new compression range supply good strength block emom every minute minute set perform front back squat start week simply week aim add example week week week get idea hopefully stick either front back full week build good position naturally poor squatter like blow leg try tag check supply new functional active wear sculpt boohooman
284,adamcollard,influencers,problem sex live starve episode live apple podcasts youtube upcoming guest future first episode speak ugly truth fitness body eat able get controversial give listen please tag leave review apple spotify podcasts show love hope enjoy guest come every friday special man man put together help big love theliftlaughlivepodcast sculpt
285,adamcollard,influencers,workout wednesday spicy finisher day emom every minute minute complete front squat ghd sit ups push jerk wall ball commercial stuck set shop rack change front squat butterfly sit ups push jerk air squat start clean run workcapacitywednesday
286,adamcollard,influencers,pumped get back greece retreat year june good training sun cliff quality restaurant course party night yoga coached suck good crack definitely recommend go check page
287,adamcollard,influencers,set tone little low body finisher today strength emom front squat emom front squat set quality nordic hamstring curl half pistol squat strict toe bar rest need set conditioning round work rest walk lunge max cal as bike remainder time get cals every round sculpt legday
288,adamcollard,influencers,sunday banger workout detail warm prep easy bike band pull aparts ring row push ups round workout round time run pull ups chin ups bench cal assault bike rpm sculpt
289,adamcollard,influencers,sun shake saturday good food chill weekend rest body heavy week take foot important listen body sometimes much training hard run take day get sweat push boundary much term weight rep get recovery mobility drink play long barebells sculpt
290,adamcollard,influencers,friday training squad
291,adamcollard,influencers,hung protein shaker decide take
292,adamcollard,influencers,kettlebell flow use workout experiment kettlebells lot lately complex yesterday prep upper body sometimes early yes happens get jacked quick start workout may get right headspace quick easy round moderate weight kettlebell bent row dual snatch strict press workout bike time every jump complete round complex something try like style training check link bio get coached sculpt
293,adamcollard,influencers,get jacked push pull upper bias every minute minute odd minute bench press even minute strict pull ups round cable row lat pull push ups rest round simple sculpt
294,adamcollard,influencers,day life eat stay fuel favourite product use key always prep pot magic busy day want nail something solid calorie mention bang available plan apply get help work calorie egg white granola pot prepped pot macro friendly snack like proper corn crisp favourite high quality meat fish product straight door check favourite product use save first order musclefood goalgetters sculpt
295,adamcollard,influencers,sunny monday leg day run build pin setthetone
296,adamcollard,influencers,open do dust sculpt family see people get first pull double unders get sweat happy get big gymnastic workout like time wanna see weapon watch northerner naughty time pull ups double unders thruster chest bar pull ups double unders thruster bar muscle ups double unders thruster sculpt
297,adamcollard,influencers,tell well brekky protein oat saturday morning one pre workout frozen salty peanut make bang
298,adamcollard,influencers,number one exercise quad trump back squat barbell bulgarian split squat improves single leg strength improves stability across training fix imbalance strength leg people get back pain allows neutral spine upright torso add set per sculpt
299,adamcollard,influencers,new favourite type row back save one try later rnt row reactive neuromuscular training benefit force individual move perfect form stabilise resist band pull away body increase mechanical tension desire muscle one side never try see engage weaker side want get coached currently take new online gain lose body move well feel link sculpt
